Location,Location_ref,HAB_TYPE,LOC_NUM,Datecombined(DDMMYYYY),Year,Month,Day,Date(mm/dd/yy),Date all same format(DD-MM-YYYY),nTHDATE_OF_YEAR,ROLL_DATE,DAY_OF_DUCKSEAS,DayofSeason,WINT_PER,Dabbert_ID,DUCK_ID,EarliestDuckStartNthDay,EarliestDuckShot,Hunting Season Start Date (NotAccurate 79-83),Hunting Season DOY,SEAS_NUM,DECADE_NUM,SPECIES_NUM,SPECIES,SEX,Age(unaltered),AGE_NUM,HatchAdultOrUnknown,BM,WNG_LNGTH,FOOD_ESOPH,FoodEsophQuant(g),Date(mm/dd/yy),RAIN_STATION,PRCP_PREV3DAYS,Rain_CM,TEMP_STATION,Date(mm/dd/yy),AVG_PREV3DAYTEMP,TMAXAVGPREV3DAY,TMINAVGPREV3DAY,WSI_STATION,WSI,RIV_GAGE,GageDischarge,GageHeight,Gage_M,AgeSex,,,,,,,,,,,,,HAB_TYPE,LOC_NUM,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,101,323,19-Nov,17-Nov,321,1,1,132,Mallard,1,2,2,A,1250,299,1,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,1,,,,,,,,,,,,,1,1,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,110,323,19-Nov,17-Nov,321,1,1,132,Mallard,1,2,2,A,1500,311,1,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,1,,,,,,,,,,,,,2,2,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,111,323,19-Nov,17-Nov,321,1,1,132,Mallard,1,2,2,A,1580,308,1,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,1,,,,,,,,,,,,,3,3,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,106,323,19-Nov,17-Nov,321,1,1,132,Mallard,1,2,2,A,1400,294,2,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,1,,,,,,,,,,,,,4,4,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,107,323,19-Nov,17-Nov,321,1,1,132,Mallard,1,2,2,A,1360,303,2,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,1,,,,,,,,,,,,,5,5,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,108,323,19-Nov,17-Nov,321,1,1,132,Mallard,1,2,2,A,1090,297,2,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,1,,,,,,,,,,,,,6,6,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,113,323,19-Nov,17-Nov,321,1,1,132,Mallard,1,2,2,A,1300,298,2,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,1,,,,,,,,,,,,,7,7,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,114,323,19-Nov,17-Nov,321,1,1,132,Mallard,1,2,2,A,1140,287,2,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,1,,,,,,,,,,,,,8,8,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,115,323,19-Nov,17-Nov,321,1,1,132,Mallard,1,2,2,A,1140,289,2,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,1,,,,,,,,,,,,,9,9,
,,1,1,8121979,1979,12,8,12/8/79,8-Dec-79,342,342,22,20,1,,118,323,19-Nov,17-Nov,321,1,1,132,Mallard,2,2,2,A,1310,283,1,,12/8/79,"YAZOO CITY 5 NNE, MS US",0.22,0.5588,"YAZOO CITY 5 NNE, MS US",12/8/79,6.527777778,17.96296296,-0.555555556,"YAZOO CITY 5 NNE, MS US",-6.527777778,"Big Black River Near Bovina, MS",15500,34.5,10.5225,2,,,,,,,,,,,,,10,10,
